age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
20-29,white,99,female,93,93,"[2, 2, 30, 30]",5,2
20-29,white,99,female,97,76,"[74, 51, 7, 5]",168,92
30-39,white,80,female,99,97,"[43, 15, 12, 12]",115,81
30-39,white,96,female,99,99,"[47, 29, 31, 24]",189,29
20-29,asian,84,female,99,99,"[57, 23, 10, 10]",98,1
20-29,white,95,female,87,97,"[22, 23, 10, 10]",98,1
0-12,white,70,female,93,95,"[20, 43, 8, 8]",122,70
30-39,white,81,female,99,91,"[35, 30, 10, 8]",40,2
20-29,black or african american,39,male,99,99,"[35, 65, 8, 8]",137,83
20-29,asian,43,female,99,99,"[36, 9, 37, 29]",88,43
20-29,white,97,female,90,99,"[54, 52, 12, 12]",91,26
30-39,white,98,male,99,99,"[37, 33, 17, 17]",91,26
30-39,white,98,female,79,99,"[45, 21, 17, 17]",69,72
20-29,white,95,female,97,86,"[34, 24, 15, 15]",69,72
20-29,asian,99,female,99,99,"[55, 26, 10, 10]",187,21
20-29,asian,99,male,99,99,"[67, 12, 12, 12]",187,21
30-39,white,59,female,99,99,"[17, 27, 10, 10]",187,21
13-19,white,98,female,99,94,"[31, 23, 10, 10]",187,21
0-12,asian,83,female,94,76,"[52, 19, 10, 10]",142,44
30-39,white,94,female,90,91,"[61, 42, 4, 6]",76,98
20-29,white,96,female,96,84,"[33, 36, 4, 6]",76,98
20-29,white,94,female,95,59,"[51, 25, 4, 6]",76,98
20-29,white,97,female,99,99,"[54, 27, 14, 14]",129,46
20-29,white,84,male,99,99,"[27, 11, 17, 17]",129,46
20-29,white,86,female,99,97,"[13, 41, 17, 17]",198,1
20-29,white,90,male,98,97,"[39, 36, 12, 12]",198,1
20-29,white,74,female,98,86,"[58, 38, 12, 12]",198,1
30-39,white,95,male,99,99,"[19, 16, 17, 17]",144,28
30-39,white,99,male,99,99,"[57, 10, 17, 17]",144,28
30-39,white,54,female,99,99,"[35, 13, 15, 14]",144,28
20-29,white,99,male,92,91,"[57, 22, 10, 10]",45,62
20-29,white,93,female,99,99,"[39, 17, 25, 23]",22,107
13-19,white,87,female,99,99,"[22, 30, 25, 23]",22,107
20-29,white,45,female,64,94,"[77, 42, 15, 15]",21,85
20-29,white,96,female,99,85,"[7, 57, 14, 15]",21,85
20-29,white,57,female,98,99,"[8, 36, 20, 25]",13,42
13-19,white,99,female,99,99,"[52, 45, 37, 29]",33,87
13-19,white,99,female,99,99,"[19, 37, 31, 24]",33,87
30-39,white,60,male,99,98,"[51, 33, 17, 17]",193,28
20-29,white,69,male,99,91,"[23, 37, 17, 17]",193,28
20-29,white,59,female,98,97,"[47, 4, 7, 5]",164,48
40-49,hispanic or latino,48,male,99,99,"[23, 17, 17, 17]",156,28
40-49,white,72,male,99,99,"[63, 21, 15, 15]",156,28
30-39,white,69,female,99,99,"[33, 19, 25, 25]",154,53
20-29,white,88,female,99,99,"[54, 23, 21, 21]",154,53
30-39,white,80,male,96,99,"[15, 26, 7, 7]",47,23
30-39,white,91,male,98,84,"[29, 32, 7, 7]",47,23
30-39,white,95,female,99,99,"[37, 25, 15, 14]",3,1
30-39,white,95,female,99,96,"[49, 20, 14, 15]",3,1
20-29,white,97,female,99,99,"[30, 6, 31, 31]",196,71
20-29,white,84,female,99,99,"[57, 11, 15, 15]",141,14
20-29,white,85,female,99,64,"[27, 13, 17, 17]",141,14
30-39,south asian,41,male,99,99,"[46, 24, 6, 6]",41,19
20-29,white,98,female,99,99,"[47, 22, 21, 17]",12,46
20-29,white,98,female,99,99,"[71, 45, 6, 10]",54,85
20-29,white,82,female,97,99,"[33, 45, 6, 10]",54,85
20-29,white,96,female,97,99,"[44, 45, 6, 10]",54,85
0-12,white,97,female,99,96,"[16, 48, 6, 10]",54,85
40-49,white,84,female,97,96,"[60, 53, 6, 10]",54,85
40-49,black or african american,80,female,94,99,"[33, 17, 30, 27]",79,102
20-29,white,98,female,99,99,"[18, 8, 44, 44]",42,0
20-29,white,41,female,83,78,"[39, 24, 7, 7]",118,0
30-39,white,83,male,99,99,"[69, 34, 5, 5]",97,34
30-39,white,93,male,99,99,"[13, 39, 5, 5]",97,34
30-39,white,88,male,99,99,"[78, 39, 7, 7]",97,34
30-39,white,89,male,99,61,"[62, 39, 5, 5]",97,34
20-29,white,85,male,99,99,"[35, 9, 14, 14]",56,28
30-39,white,98,female,99,98,"[28, 36, 12, 12]",56,28
20-29,white,75,male,99,60,"[31, 44, 37, 37]",125,39
20-29,asian,56,male,79,98,"[11, 31, 17, 17]",75,55
40-49,hispanic or latino,41,male,99,99,"[46, 20, 15, 26]",167,22
13-19,white,98,female,99,99,"[64, 41, 15, 18]",39,87
30-39,white,92,male,89,99,"[57, 29, 16, 17]",105,17
20-29,white,94,female,98,74,"[40, 43, 16, 17]",105,17
30-39,white,75,female,99,99,"[48, 34, 17, 14]",132,107
40-49,white,99,female,99,99,"[45, 62, 25, 25]",179,4
30-39,white,96,male,99,99,"[21, 42, 25, 25]",179,4
20-29,white,90,female,80,99,"[24, 24, 15, 15]",29,79
30-39,white,99,female,99,98,"[55, 27, 14, 14]",29,79
13-19,white,95,female,98,98,"[13, 37, 18, 21]",185,48
20-29,white,76,male,99,96,"[52, 19, 14, 17]",185,48
20-29,south asian,32,female,96,99,"[35, 35, 7, 7]",188,47
13-19,white,98,female,84,97,"[60, 37, 5, 5]",188,47
13-19,black or african american,41,female,89,55,"[3, 31, 8, 8]",188,47
20-29,white,99,female,99,99,"[17, 13, 12, 12]",58,26
40-49,white,99,male,99,91,"[44, 60, 37, 37]",58,26
40-49,white,99,male,93,88,"[70, 27, 25, 25]",58,26
30-39,asian,75,female,94,78,"[38, 39, 13, 17]",160,43
30-39,white,88,male,99,99,"[33, 5, 25, 25]",68,88
30-39,white,98,female,99,99,"[51, 37, 21, 21]",68,88
40-49,white,91,female,99,96,"[45, 34, 8, 6]",155,18
13-19,hispanic or latino,39,male,95,98,"[44, 29, 10, 10]",11,66
20-29,white,36,female,95,88,"[38, 27, 10, 19]",57,55
20-29,white,98,female,99,99,"[92, 42, 5, 7]",61,109
30-39,white,77,male,98,99,"[45, 39, 4, 6]",61,109
20-29,white,85,female,99,99,"[60, 47, 4, 6]",61,109
30-39,white,91,male,95,99,"[77, 41, 4, 6]",61,109
20-29,white,89,female,99,99,"[12, 41, 5, 7]",61,109
20-29,white,46,female,99,99,"[81, 42, 4, 6]",61,109
20-29,asian,77,male,99,99,"[24, 42, 4, 6]",61,109
20-29,white,86,female,99,99,"[51, 43, 4, 6]",61,109
20-29,asian,74,female,99,99,"[35, 43, 4, 6]",61,109
20-29,hispanic or latino,54,female,99,91,"[5, 39, 5, 7]",61,109
20-29,hispanic or latino,54,male,99,99,"[32, 57, 15, 15]",84,28
20-29,white,81,female,99,99,"[58, 64, 15, 14]",84,28
30-39,south asian,39,male,97,98,"[29, 34, 10, 10]",84,28
30-39,white,57,male,99,94,"[52, 42, 10, 10]",84,28
20-29,white,86,female,61,97,"[71, 57, 30, 24]",182,43
30-39,asian,59,male,99,99,"[78, 20, 16, 21]",112,99
20-29,white,93,female,99,99,"[67, 17, 9, 12]",112,99
30-39,asian,99,female,91,99,"[8, 39, 13, 18]",112,99
20-29,asian,99,female,99,99,"[26, 24, 7, 10]",112,99
20-29,white,97,male,99,98,"[78, 62, 19, 25]",112,99
20-29,asian,93,male,99,79,"[2, 59, 16, 21]",112,99
40-49,white,96,male,98,55,"[35, 18, 7, 10]",112,99
20-29,hispanic or latino,48,female,99,96,"[65, 45, 6, 10]",146,42
20-29,hispanic or latino,81,female,99,99,"[5, 78, 10, 10]",96,16
30-39,hispanic or latino,64,female,99,99,"[14, 76, 12, 12]",96,16
30-39,hispanic or latino,78,female,98,99,"[65, 50, 25, 25]",96,16
20-29,white,56,female,99,81,"[43, 51, 17, 17]",96,16
13-19,black or african american,93,female,95,99,"[36, 10, 25, 25]",4,13
20-29,south asian,54,male,99,99,"[26, 30, 31, 31]",82,83
30-39,white,85,female,99,99,"[49, 27, 5, 6]",46,53
30-39,white,95,male,99,99,"[84, 18, 7, 8]",46,53
30-39,white,70,male,99,99,"[27, 49, 5, 6]",46,53
20-29,white,74,female,99,99,"[57, 30, 5, 6]",46,53
40-49,white,83,female,99,99,"[66, 25, 5, 6]",46,53
20-29,white,88,male,99,99,"[42, 48, 5, 6]",46,53
30-39,white,60,female,99,99,"[31, 27, 5, 6]",46,53
40-49,white,81,female,99,99,"[40, 27, 5, 6]",46,53
13-19,white,68,female,96,99,"[13, 27, 5, 6]",46,53
20-29,hispanic or latino,50,female,99,99,"[22, 25, 5, 6]",46,53
20-29,white,98,male,99,99,"[9, 47, 5, 7]",46,53
30-39,white,87,male,99,99,"[59, 51, 5, 7]",46,53
30-39,white,98,male,96,87,"[76, 25, 5, 7]",46,53
40-49,white,99,female,99,97,"[72, 23, 16, 21]",133,26
50-59,white,99,male,99,97,"[54, 20, 16, 21]",133,26
30-39,white,87,male,99,53,"[3, 19, 19, 25]",133,26
20-29,white,97,female,99,99,"[33, 24, 25, 22]",136,49
20-29,hispanic or latino,68,female,94,99,"[29, 31, 10, 10]",109,5
20-29,hispanic or latino,37,female,98,99,"[60, 21, 10, 10]",25,54
20-29,asian,62,female,99,99,"[54, 6, 10, 10]",25,54
20-29,white,97,female,99,91,"[73, 22, 12, 12]",25,54
20-29,white,99,female,99,81,"[39, 17, 8, 8]",25,54
30-39,white,90,male,99,94,"[88, 52, 6, 6]",126,21
30-39,white,61,female,81,80,"[64, 45, 6, 6]",126,21
20-29,white,83,female,99,93,"[45, 31, 7, 8]",190,58
40-49,white,97,female,76,63,"[39, 31, 3, 5]",77,27
30-39,hispanic or latino,54,female,97,99,"[34, 28, 9, 12]",28,58
20-29,white,67,female,99,99,"[46, 33, 9, 12]",28,58
20-29,hispanic or latino,57,female,99,99,"[40, 29, 7, 10]",28,58
30-39,asian,92,female,99,97,"[58, 31, 7, 7]",38,55
20-29,asian,71,male,99,94,"[50, 22, 7, 7]",38,55
20-29,white,95,female,99,99,"[25, 26, 17, 14]",184,1
20-29,white,88,female,99,99,"[53, 27, 25, 25]",165,81
30-39,white,38,female,95,97,"[56, 65, 37, 37]",165,81
20-29,white,98,female,99,89,"[-4, 5, 34, 30]",165,81
20-29,white,95,female,99,80,"[37, -3, 21, 24]",165,81
30-39,white,97,female,99,99,"[53, 19, 10, 10]",102,70
40-49,white,58,female,99,95,"[40, 21, 10, 10]",102,70
30-39,white,53,female,99,99,"[34, 12, 12, 10]",123,103
20-29,white,85,female,99,99,"[46, 11, 10, 8]",123,103
20-29,hispanic or latino,38,male,99,97,"[52, 14, 7, 7]",171,5
13-19,south asian,55,female,83,99,"[30, 37, 21, 21]",186,83
30-39,white,96,female,99,99,"[24, 20, 10, 10]",186,83
13-19,white,57,female,94,99,"[10, 50, 25, 25]",186,83
20-29,white,94,female,94,98,"[52, 12, 8, 8]",186,83
20-29,black or african american,59,male,99,95,"[60, 44, 37, 37]",186,83
40-49,white,98,male,86,99,"[13, 19, 10, 10]",35,33
30-39,white,99,male,99,99,"[77, 26, 8, 8]",35,33
40-49,white,99,male,99,99,"[62, 23, 8, 8]",35,33
30-39,white,96,female,98,98,"[31, 33, 8, 8]",35,33
30-39,white,58,male,85,52,"[44, 25, 7, 7]",35,33
20-29,asian,79,female,99,99,"[51, 13, 21, 21]",134,68
20-29,asian,86,female,99,97,"[41, 23, 17, 17]",134,68
20-29,asian,97,female,92,98,"[31, 37, 12, 10]",149,93
50-59,white,74,male,99,93,"[39, 26, 21, 17]",149,93
30-39,white,65,female,56,96,"[52, 47, 6, 6]",20,42
20-29,white,93,female,69,99,"[62, 45, 6, 6]",23,0
20-29,hispanic or latino,37,male,98,79,"[82, 37, 6, 6]",23,0
40-49,white,93,male,99,77,"[44, 14, 6, 6]",166,34
40-49,white,91,female,61,99,"[46, 42, 3, 6]",172,29
20-29,white,57,female,99,99,"[49, 16, 16, 21]",161,90
20-29,white,94,female,99,99,"[69, 20, 16, 21]",161,90
20-29,white,99,female,99,99,"[29, 20, 16, 21]",161,90
30-39,white,58,female,99,99,"[8, 23, 16, 21]",161,90
